# U,mu,nA_up, nA_dn, nB_up, nB_dn, ms, mf, ntotal,mu,cint,dnA_up, dnA_dn, dnB_up, dnB_dn,loop
0.6  0   0.242695	0.242695	0.757303	0.757303	2.49329e-09	-5.42101e-20	2   0	0	9.80658e-10	9.80672e-10	9.80672e-10	9.80658e-10	17
0.7  0.06255   0.250164	0.250164	0.749834	0.749834	3.68728e-10	-2.64903e-13	2   0.06255	0	4.39251e-10	7.11354e-10	7.1162e-10	4.38987e-10	58
0.8  0.131748   0.257477	0.257477	0.742521	0.742521	1.85377e-12	-5.63785e-18	2   0.131748	0	6.35815e-10	6.37088e-10	6.37088e-10	6.35815e-10	58
0.9  0.197482   0.264614	0.264614	0.735384	0.735384	1.87036e-09	-1.85927e-15	2   0.197482	0	5.90402e-10	5.90667e-10	5.90669e-10	5.90404e-10	65
1  0.262937   0.271558	0.271558	0.72844	0.72844	3.00979e-09	-3.73779e-17	2   0.262937	0	8.61095e-10	8.61097e-10	8.61097e-10	8.61095e-10	69
1.2  0.376987   0.284827	0.284827	0.715171	0.715171	3.89212e-09	-1.75099e-17	2   0.376987	0	8.60756e-10	8.60894e-10	8.60894e-10	8.60756e-10	66
1.3  0.453886   0.291137	0.291137	0.708861	0.708861	4.70848e-09	1.0842e-19	2   0.453886	0	8.75325e-10	8.75325e-10	8.75325e-10	8.75325e-10	89
1.4  0.558253   0.297224	0.297224	0.702774	0.702774	5.65182e-09	5.69206e-19	2   0.558253	0	8.40952e-10	8.40952e-10	8.40952e-10	8.40952e-10	120
1.5  0.558258   0.303089	0.303089	0.696909	0.696909	8.71282e-09	3.52366e-19	2   0.558258	0	9.57219e-10	9.57219e-10	9.57219e-10	9.57219e-10	74
1.6  0.747416   0.308732	0.308732	0.691266	0.691266	1.38604e-08	2.71051e-19	2   0.747416	0	9.58351e-10	9.58351e-10	9.58351e-10	9.58351e-10	239
1.7  0.747445   0.314156	0.314156	0.685842	0.685842	3.68292e-08	-1.0842e-19	2   0.747445	0	9.82019e-10	9.82019e-10	9.82019e-10	9.82019e-10	287
1.72  0.747487   0.315215	0.315215	0.684783	0.684783	5.43036e-08	2.98156e-19	2   0.747487	0	9.75298e-10	9.75297e-10	9.75298e-10	9.75297e-10	413
1.74  0.747568   0.316266	0.316266	0.683732	0.683732	1.08447e-07	-5.42101e-20	2   0.747568	0	9.96331e-10	9.96331e-10	9.96331e-10	9.96331e-10	759
1.76  0.747781   0.317689	0.316926	0.682309	0.683072	0.000763186	-1.35525e-19	2   0.747781	0	7.92793e-08	7.90929e-08	7.92793e-08	7.90929e-08	2000
1.77  0.808114   0.657962	0.1395	0.342036	0.860498	0.518462	3.79471e-19	2   0.808114	0	7.41022e-10	3.62856e-10	7.41022e-10	3.62856e-10	546
1.78  0.808115   0.661895	0.138147	0.338103	0.861851	0.523748	-8.13152e-20	2   0.808115	0	8.48838e-10	4.17991e-10	8.48838e-10	4.17991e-10	38
1.79  0.808116   0.665705	0.136834	0.334293	0.863164	0.528872	-3.25261e-19	2   0.808116	0	8.91675e-10	4.41428e-10	8.91675e-10	4.41428e-10	37
1.8  0.808117   0.669403	0.135557	0.330595	0.864441	0.533846	0	2   0.808117	0	9.61975e-10	4.78643e-10	9.61975e-10	4.78643e-10	36
1.82  0.808118   0.676493	0.133102	0.323505	0.866896	0.543391	-4.06576e-19	2   0.808118	0	7.86636e-10	3.95099e-10	7.86636e-10	3.95099e-10	38
1.84  0.80812   0.683218	0.130763	0.31678	0.869235	0.552455	-2.71051e-19	2   0.80812	0	7.04884e-10	3.57092e-10	7.04884e-10	3.57092e-10	37
1.9  0.808121   0.701604	0.124319	0.298394	0.875679	0.577285	-2.1684e-19	2   0.808121	0	7.76158e-10	4.0194e-10	7.76158e-10	4.0194e-10	37
2  0.808122   0.727768	0.115002	0.27223	0.884996	0.612766	5.42101e-20	2   0.808122	0	6.35756e-10	3.38576e-10	6.35756e-10	3.38576e-10	35
2.1  0.808123   0.749932	0.106961	0.250066	0.893037	0.64297	1.6263e-19	2   0.808123	0	7.35086e-10	3.99842e-10	7.35086e-10	3.99842e-10	32
2.2  0.808123   0.769152	0.0998724	0.230846	0.900126	0.669279	-1.0842e-19	2   0.808123	0	7.17544e-10	3.96889e-10	7.17544e-10	3.96889e-10	30
2.3  0.808123   0.786072	0.0935404	0.213926	0.906458	0.692531	-2.1684e-19	2   0.808123	0	8.81795e-10	4.94466e-10	8.81795e-10	4.94466e-10	28
2.4  0.808123   0.801126	0.0878346	0.198872	0.912163	0.713291	-1.0842e-19	2   0.808123	0	7.15978e-10	4.06131e-10	7.15978e-10	4.06131e-10	27
